Category,Subcategory,Hero_mean_per1kCDS,Rest_mean_per1kCDS,Fold_change,Hero_CI95,Rest_CI95,Fold_change_CI95,Permutation_p,MannWhitney_greater_p,Permutation_q_BH,MannWhitney_q_BH
CAZyme_proxy,carb_binding,1.571,0.161,9.78,"[0.563, 2.595]","[0.089, 0.249]","[3.54, 21.96]",0.0002,0.0023,0.0025,0.0291
MetalResist_AMR,tet_mac,1.967,0.466,4.222,"[0.817, 3.231]","[0.402, 0.535]","[1.74, 7.07]",0.0002,0.0205,0.0025,0.0708
Biofilm_EPS,quorum,2.449,1.149,2.132,"[1.555, 3.255]","[1.019, 1.281]","[1.35, 2.94]",0.0001,0.0065,0.0025,0.0494
CAZyme_proxy,glycoside_hydrolase,6.2,1.331,4.658,"[2.082, 10.317]","[1.017, 1.666]","[1.50, 8.43]",0.0003,0.0112,0.0028,0.0515
Alkaline_Osmo,oxidative,0.246,0.052,4.763,"[0.117, 0.389]","[0.033, 0.073]","[2.23, 8.75]",0.001,0.0001,0.0076,0.0019
Alkaline_Osmo,Mrp_complex,0.123,0.011,10.849,"[0.035, 0.218]","[0.002, 0.023]","[2.28, 43.83]",0.0018,0.0,0.0114,0.0
Alkaline_Osmo,Na_H_antiporter,0.635,0.276,2.302,"[0.364, 0.915]","[0.226, 0.327]","[1.28, 3.40]",0.0023,0.0105,0.0125,0.0515
Alkaline_Osmo,compatible_solute,22.611,15.027,1.505,"[17.675, 27.882]","[14.063, 16.131]","[1.15, 1.88]",0.0038,0.0046,0.018,0.0437
MetalResist_AMR,metal_efflux,24.041,20.275,1.186,"[21.626, 26.325]","[19.510, 20.990]","[1.06, 1.31]",0.0046,0.0122,0.0194,0.0515
CAZyme_proxy,polysaccharide_lyase,0.504,0.234,2.154,"[0.244, 0.788]","[0.173, 0.304]","[1.02, 3.64]",0.0594,0.0093,0.2257,0.0515
MetalResist_AMR,efflux_MDR,2.095,1.644,1.274,"[1.737, 2.418]","[1.476, 1.823]","[1.04, 1.53]",0.1291,0.0611,0.446,0.1935
CAZyme_proxy,carb_esterase,0.082,0.037,2.211,"[0.000, 0.186]","[0.021, 0.057]","[0.00, 5.99]",0.1563,0.1039,0.4519,0.2632
Biofilm_EPS,capsule,0.113,0.061,1.845,"[0.035, 0.195]","[0.038, 0.087]","[0.45, 3.83]",0.1665,0.0665,0.4519,0.1944
Biofilm_EPS,cellulose,0.305,0.17,1.801,"[0.128, 0.542]","[0.113, 0.231]","[0.76, 3.48]",0.1585,0.0205,0.4519,0.0708
HGT_markers,transposase,2.068,1.664,1.243,"[1.490, 2.940]","[1.407, 1.948]","[0.85, 1.82]",0.1954,0.0885,0.495,0.2402
Biofilm_EPS,alginate,1.158,0.882,1.313,"[0.198, 2.730]","[0.655, 1.122]","[0.22, 3.15]",0.2741,0.3428,0.5724,0.6512
Biofilm_EPS,adhesin,1.985,1.702,1.166,"[1.497, 2.478]","[1.463, 1.974]","[0.86, 1.51]",0.2708,0.1216,0.5724,0.2857
Biofilm_EPS,polysaccharide_intercellular,241.103,214.856,1.122,"[144.037, 372.361]","[192.508, 237.510]","[0.66, 1.75]",0.2862,0.3396,0.5724,0.6512
MetalResist_AMR,beta_lactamase,3.263,2.917,1.119,"[2.629, 3.969]","[2.640, 3.218]","[0.88, 1.41]",0.2754,0.1278,0.5724,0.2857
MetalResist_AMR,metallothionein,0.041,0.029,1.429,"[0.000, 0.124]","[0.014, 0.047]","[0.00, 5.71]",0.3546,0.3543,0.6737,0.6512
Alkaline_Osmo,HSP_chaperone,1.511,1.427,1.059,"[1.229, 1.750]","[1.301, 1.558]","[0.85, 1.26]",0.383,0.3599,0.693,0.6512
HGT_markers,plasmid,0.393,0.373,1.053,"[0.272, 0.526]","[0.320, 0.429]","[0.71, 1.47]",0.4206,0.3941,0.7265,0.6807
Alkaline_Osmo,K_uptake,0.429,0.454,0.945,"[0.321, 0.545]","[0.406, 0.503]","[0.71, 1.23]",1.0,0.6079,1.0,0.8885
CAZyme_proxy,glycosyltransferase,4.235,4.634,0.914,"[2.978, 5.663]","[4.318, 4.983]","[0.65, 1.23]",1.0,0.6789,1.0,0.9555
Ammonia_N,urea_transport,0.425,0.47,0.904,"[0.154, 0.721]","[0.382, 0.562]","[0.32, 1.62]",1.0,0.4206,1.0,0.6949
Ammonia_N,GDH,0.306,0.34,0.9,"[0.175, 0.424]","[0.301, 0.381]","[0.50, 1.29]",1.0,0.4896,1.0,0.7752
Ammonia_N,ammonium_transport,0.271,0.367,0.741,"[0.142, 0.390]","[0.305, 0.430]","[0.39, 1.14]",1.0,0.5802,1.0,0.8819
HGT_markers,integrase,0.912,1.315,0.693,"[0.661, 1.134]","[1.160, 1.506]","[0.48, 0.89]",1.0,0.9176,1.0,0.9973
Ammonia_N,GS_GOGAT,0.91,1.455,0.625,"[0.311, 1.508]","[1.310, 1.608]","[0.21, 1.05]",1.0,0.9186,1.0,0.9973
Ammonia_N,nitrate_nitrite,0.444,0.818,0.542,"[0.035, 1.188]","[0.690, 0.957]","[0.04, 1.51]",1.0,0.9622,1.0,0.9973
HGT_markers,phage,2.144,4.277,0.501,"[0.932, 3.829]","[3.722, 4.855]","[0.21, 0.91]",1.0,0.9736,1.0,0.9973
MetalResist_AMR,aminoglycoside,0.189,0.588,0.321,"[0.000, 0.402]","[0.512, 0.665]","[0.00, 0.73]",1.0,0.9917,1.0,0.9973
Ammonia_N,PII_regulator,0.077,0.293,0.262,"[0.000, 0.160]","[0.254, 0.334]","[0.00, 0.59]",1.0,0.9909,1.0,0.9973
HGT_markers,conjugation,0.07,0.521,0.135,"[0.000, 0.141]","[0.392, 0.668]","[0.00, 0.29]",1.0,0.9739,1.0,0.9973
Biofilm_EPS,pel,0.0,0.057,0.0,"[0.000, 0.000]","[0.020, 0.100]","[0.00, 0.00]",1.0,0.7757,1.0,0.9973
Biofilm_EPS,psl,0.0,0.034,0.0,"[0.000, 0.000]","[0.011, 0.061]","[0.00, 0.00]",1.0,0.7309,1.0,0.9919
Biofilm_EPS,curli,0.0,0.303,0.0,"[0.000, 0.000]","[0.242, 0.366]","[0.00, 0.00]",1.0,0.9973,1.0,0.9973
Biofilm_EPS,colanic,0.0,0.02,0.0,"[0.000, 0.000]","[0.009, 0.031]","[0.00, 0.00]",1.0,0.8003,1.0,0.9973
