,GH,GT,PL,CE,AA,CBM,Total_CAZymes,CDS_total
C1,0.0,1.944,0.972,0.972,0.972,0.0,4.859,1029
C10,2.067,0.517,0.0,0.517,0.0,0.0,3.101,1935
C11,8.164,6.475,0.282,2.534,1.408,0.0,18.863,3552
C12,1.433,0.956,0.0,0.0,0.0,0.0,2.389,2093
C13,14.041,5.361,0.255,1.532,0.766,1.532,23.487,3917
C14,3.165,7.12,0.264,1.846,2.11,0.0,14.504,3792
C15,3.0,3.429,0.0,0.857,2.143,0.429,9.859,2333
C16,2.467,4.228,0.352,0.705,1.762,0.352,9.866,2838
C17,3.012,2.582,0.0,0.861,2.151,0.0,8.606,2324
C18,11.494,7.732,0.627,1.463,2.09,0.209,23.615,4785
C19,5.953,5.797,0.0,0.783,3.447,0.313,16.293,6383
C2,4.962,6.38,0.0,0.709,1.654,0.0,13.705,4232
C20,2.825,5.216,0.217,1.304,3.043,0.217,12.823,4601
C21,5.139,4.454,0.685,2.398,2.398,0.343,15.416,2919
C22,,,,,,,,3638
C3,3.086,2.805,0.0,0.0,0.561,0.0,6.452,3565
C4,2.317,3.089,0.257,0.0,1.03,0.0,6.692,3885
C5,3.735,5.054,0.22,1.318,2.637,0.439,13.404,4551
C6,0.615,8.615,0.0,0.615,1.231,0.615,11.692,1625
C7,2.867,6.307,0.191,0.765,2.294,0.191,12.615,5232
C8,1.573,3.146,0.0,0.393,0.786,0.0,5.899,2543
C9,1.029,3.087,0.0,0.343,0.343,0.343,5.146,2915
M1,,,,,,,,4032
M10,2.575,5.923,0.258,1.288,1.288,0.0,11.331,3883
M11,2.755,3.306,0.0,1.286,2.204,0.184,9.734,5445
M12,11.057,6.565,0.0,2.764,1.382,0.0,21.769,2894
M13,3.165,6.043,0.0,1.727,3.165,0.288,14.388,3475
M14,2.659,6.913,0.266,1.595,1.595,0.0,13.028,3761
M15,2.064,5.505,0.0,0.917,2.294,0.0,10.78,4360
M2,1.027,5.306,0.342,0.342,0.856,0.171,8.045,5842
M3,9.045,6.281,0.503,3.266,2.513,0.503,22.111,3980
M4,11.178,7.278,0.52,3.119,2.08,0.26,24.435,3847
M5,3.582,8.107,0.189,1.885,3.017,0.0,16.78,5304
M6,7.366,5.633,0.867,3.466,2.6,0.0,19.931,2308
M7,1.54,4.236,0.0,0.0,0.77,0.0,6.546,2597
M8,3.658,5.065,0.0,0.844,2.814,0.281,12.662,3554
M9,3.92,5.096,0.588,0.784,1.96,0.196,12.544,5102
S1,6.904,10.549,0.192,1.151,3.452,0.0,22.248,5214
S10,4.897,6.821,0.175,0.874,2.448,0.0,15.215,5718
S11,4.371,6.41,0.0,0.583,1.748,0.291,13.403,3432
S12,11.2,7.958,0.589,3.537,2.358,0.295,25.936,3393
S13,,,,,,,,3554
S14,2.997,5.245,0.15,1.349,3.297,0.0,13.038,6673
S15,1.883,5.414,0.471,0.942,2.119,0.0,10.829,4248
S16,,,,,,,,4779
S17,10.717,6.847,0.595,2.977,2.084,0.298,23.519,3359
S18,5.194,5.194,0.4,0.599,2.797,0.2,14.383,5006
S19,4.929,5.572,1.072,0.643,2.143,0.0,14.359,4666
S2,2.563,8.675,0.197,1.183,1.774,0.0,14.393,5072
S20,4.644,5.451,0.808,1.009,2.019,0.202,14.133,4953
S21,3.741,7.157,0.0,1.627,2.602,0.0,15.127,6148
S22,7.738,10.734,0.0,2.496,0.999,0.25,22.217,4006
S23,,,,,,,,4602
S24,2.887,3.176,0.0,1.443,2.021,0.289,9.815,3464
S25,8.633,5.427,0.493,2.713,1.973,0.247,19.487,4054
S26,,,,,,,,4706
S27,5.955,5.955,0.229,0.458,2.749,0.229,15.575,4366
S28,2.64,4.84,0.22,0.88,2.64,0.0,11.221,4545
S29,3.268,3.994,0.0,1.816,2.542,0.363,11.983,2754
S3,2.954,4.266,0.0,1.641,2.297,0.656,11.815,3047
S30,3.484,5.807,0.0,0.581,1.742,0.581,12.195,1722
S31,5.296,5.885,0.588,0.392,2.55,0.196,14.908,5098
S32,3.166,4.432,0.317,0.633,2.216,0.317,11.079,3159
S4,5.891,6.126,0.943,0.707,2.592,0.236,16.494,4244
S5,3.967,7.212,0.361,1.442,3.246,0.18,16.408,5546
S6,8.804,7.704,0.367,2.935,2.201,0.734,22.744,2726
S7,9.766,7.812,0.0,2.232,1.674,0.0,21.484,3584
S8,11.909,9.527,1.021,3.062,2.042,1.021,28.581,2939
S9,4.988,5.387,0.599,0.798,1.796,0.2,13.767,5012
V1,10.023,6.264,0.752,3.508,2.255,0.251,23.052,3991
V10,3.797,5.777,0.0,1.816,2.806,0.0,14.196,6058
V11,4.739,5.118,0.569,0.758,2.085,0.0,13.27,5275
V12,2.458,6.008,0.0,1.638,1.365,0.0,11.469,3662
V13,10.471,8.458,0.0,3.625,2.416,0.403,25.373,2483
V14,3.358,6.53,0.187,1.493,3.172,0.373,15.112,5360
V15,11.856,9.269,1.293,3.233,1.293,0.216,27.161,4639
V16,14.221,8.318,1.073,4.293,1.61,0.0,29.514,3727
V17,6.097,8.264,0.406,1.626,2.981,0.271,19.645,7381
V18,3.663,7.5,0.174,1.57,2.616,0.174,15.699,5733
V19,5.816,7.634,0.364,0.364,2.181,0.0,16.358,2751
V2,2.308,5.539,0.0,1.154,1.846,0.0,10.847,4333
V20,4.093,7.256,0.186,1.302,2.419,0.0,15.256,5375
V21,2.933,3.91,0.0,1.629,2.281,0.326,11.079,3069
V22,5.529,5.332,0.592,0.592,2.37,0.197,14.613,5064
V23,4.57,4.57,0.0,1.904,2.666,0.762,14.471,2626
V24,8.239,8.239,0.0,2.385,1.084,0.217,20.165,4612
V25,6.807,3.89,0.0,0.324,3.241,0.0,14.263,3085
V26,30.056,10.305,2.576,5.367,0.644,1.503,50.451,4658
V27,6.77,6.499,0.0,0.271,2.979,0.0,16.518,3693
V28,4.815,8.382,0.535,0.892,2.319,0.178,17.121,5607
V29,5.506,5.85,0.516,0.688,2.753,0.344,15.657,5812
V3,23.619,6.177,1.09,3.27,0.727,1.09,35.974,2752
V30,9.874,6.418,0.741,3.703,2.222,0.494,23.451,4051
V31,9.239,8.579,0.0,3.3,0.88,0.44,22.437,4546
V32,5.301,6.763,0.366,0.914,2.193,0.0,15.536,5471
V33,4.665,5.301,0.848,0.636,2.332,0.212,13.995,4716
V34,8.072,6.36,0.489,2.691,2.202,0.245,20.059,4088
V35,3.114,3.559,0.0,1.335,3.114,0.445,11.566,2248
V36,3.648,6.384,0.0,0.912,1.824,0.456,13.224,2193
V37,3.768,5.652,0.0,1.13,1.884,0.377,12.811,2654
V38,3.232,7.273,0.0,1.212,2.02,0.404,14.141,2475
V39,4.642,5.697,0.844,0.633,2.743,0.211,14.771,4739
V4,11.214,7.369,1.282,4.165,2.884,0.0,26.914,3121
V40,11.196,7.366,0.295,3.536,1.473,0.295,24.16,3394
V41,4.073,6.48,0.0,1.481,2.037,0.185,14.257,5401
V42,4.809,6.011,0.601,0.801,1.603,0.2,14.025,4991
V5,2.906,8.428,0.291,1.744,2.034,0.0,15.402,3441
V6,9.505,9.505,0.0,3.605,1.639,0.0,24.254,3051
V7,11.502,6.766,1.353,3.721,3.045,1.015,27.402,2956
V8,3.506,5.259,0.351,1.052,3.156,0.351,13.675,2852
V9,6.339,8.276,0.704,1.233,1.937,0.176,18.665,5679
