family,Hero_mean,Rest_mean,Fold_change,Hero_present_in_N
AA1,,0.28828701050995686,,0.0
AA10,,0.08544626243166618,,0.0
AA12,,0.15906456223094073,,0.0
AA2,,0.10684138534292403,,0.0
AA3,,0.6629363821782024,,0.0
AA4,,0.3473379881352033,,0.0
AA5,,0.004754632568903345,,0.0
AA6,,0.27705590286982,,0.0
AA7,,0.13313921673618723,,0.0
CBM13,,0.017335493724519643,,0.0
CBM32,,0.031573897268051064,,0.0
CBM48,,0.0117491588578134,,0.0
CBM5,,0.0061978369059538805,,0.0
CBM50,,0.12920997316813915,,0.0
CBM51,,0.013386467853538617,,0.0
CBM67,,0.004862808028496055,,0.0
CBM73,,0.009433528042636058,,0.0
CBM9,,0.007549913531870056,,0.0
CBM91,,0.005266470544244287,,0.0
CBM96,,0.005892090614469511,,0.0
CE1,,0.6217160653340505,,0.0
CE11,,0.21890895550571485,,0.0
CE12,,0.07160827511790477,,0.0
CE13,,0.009935497665765718,,0.0
CE14,,0.0333118804850124,,0.0
CE16,,0.025910186583909353,,0.0
CE17,,0.0034606866002214838,,0.0
CE19,,0.004395590884686178,,0.0
CE2,,0.002044613465824286,,0.0
CE20,,0.0626539907161282,,0.0
CE4,,0.3637933310188988,,0.0
CE6,,0.01114572239612454,,0.0
CE7,,0.00872169507031507,,0.0
CE8,,0.009208311848144688,,0.0
CE9,,0.12851118872060957,,0.0
GH1,,0.022520840265038835,,0.0
GH10,,0.008634929135631911,,0.0
GH100,,0.002775002775002775,,0.0
GH102,,0.1317734835294997,,0.0
GH103,,0.4231710198977893,,0.0
GH104,,0.033344284272408715,,0.0
GH105,,0.02856004586876779,,0.0
GH106,,0.007558287676265541,,0.0
GH108,,0.017813120561408213,,0.0
GH109,,0.13907161161308196,,0.0
GH113,,0.001990346817933025,,0.0
GH114,,0.006746663993981044,,0.0
GH115,,0.00511071077210063,,0.0
GH116,,0.004862808028496055,,0.0
GH117,,0.005513674210441255,,0.0
GH123,,0.0024314040142480275,,0.0
GH125,,0.01063498047589851,,0.0
GH127,,0.028987322436069378,,0.0
GH13,,0.6931209152692513,,0.0
GH130,,0.02876950125265688,,0.0
GH133,,0.0033186426236002146,,0.0
GH135,,0.006249947820664439,,0.0
GH136,,0.0034606866002214838,,0.0
GH137,,0.002044613465824286,,0.0
GH138,,0.002044613465824286,,0.0
GH139,,0.002044613465824286,,0.0
GH140,,0.002044613465824286,,0.0
GH141,,0.004476017480072313,,0.0
GH142,,0.002044613465824286,,0.0
GH143,,0.002044613465824286,,0.0
GH144,,0.05770046148092908,,0.0
GH146,,0.008447446000519826,,0.0
GH148,,0.020705736890030423,,0.0
GH15,,0.1266477748017985,,0.0
GH153,,0.11306412342141915,,0.0
GH154,,0.007441380236087534,,0.0
GH16,,0.023820726832937834,,0.0
GH163,,0.0034606866002214838,,0.0
GH166,,0.025465495120525847,,0.0
GH17,,0.019617893097088585,,0.0
GH171,,0.02003350865185497,,0.0
GH172,,0.0034606866002214838,,0.0
GH176,,0.011481984406709549,,0.0
GH177,,0.05557104335095694,,0.0
GH179,,0.0949388595088166,,0.0
GH18,,0.11811067895641854,,0.0
GH19,,0.0840599355502786,,0.0
GH2,,0.11200036654495175,,0.0
GH20,,0.12114095396088238,,0.0
GH23,,0.7697169053242855,,0.0
GH24,,0.08395596025822173,,0.0
GH25,,0.07493783073245373,,0.0
GH26,,0.008510977763829626,,0.0
GH28,,0.05647096319003445,,0.0
GH29,,0.07674326011838453,,0.0
GH3,,0.5044726189770454,,0.0
GH30,,0.0418672893360615,,0.0
GH31,,0.10429932020530444,,0.0
GH32,,0.03633404262768906,,0.0
GH33,,0.009662673574290232,,0.0
GH35,,0.027855904335828546,,0.0
GH36,,0.00550530006604577,,0.0
GH37,,0.03042643133435127,,0.0
GH39,,0.018985229946530607,,0.0
GH4,,0.00398069363586605,,0.0
GH42,,0.004608956879637273,,0.0
GH43,,0.1710551569527503,,0.0
GH46,,0.002555355386050315,,0.0
GH47,,0.018624713426382247,,0.0
GH5,,0.07693818341687753,,0.0
GH50,,0.04123222515121136,,0.0
GH51,,0.009021719684055653,,0.0
GH53,,0.0018265841050651177,,0.0
GH55,,0.002044613465824286,,0.0
GH59,,0.0034606866002214838,,0.0
GH63,,0.017467656426461177,,0.0
GH64,,0.002044613465824286,,0.0
GH65,,0.007936704080293797,,0.0
GH67,,0.03161954505516502,,0.0
GH68,,0.0031168983611021754,,0.0
GH73,,0.17037675160812824,,0.0
GH74,,0.0653134954006172,,0.0
GH76,,0.004476017480072313,,0.0
GH77,,0.0928808786536387,,0.0
GH78,,0.008565244411720884,,0.0
GH8,,0.06488185405103786,,0.0
GH87,,0.001290314256037058,,0.0
GH88,,0.019597282677048248,,0.0
GH9,,0.0034606866002214838,,0.0
GH92,,0.22111427465257036,,0.0
GH93,,0.003240493203065507,,0.0
GH94,,0.07149395787182534,,0.0
GH95,,0.05184039941360709,,0.0
GH97,,0.07469591679834765,,0.0
GH99,,0.013190335861948826,,0.0
GT1,,0.07200542381836308,,0.0
GT10,,0.0016386458230917967,,0.0
GT101,,0.003848003848003848,,0.0
GT102,,0.012739768967518338,,0.0
GT104,,0.09262572203825553,,0.0
GT105,,0.020145598586749705,,0.0
GT107,,0.031423246877024136,,0.0
GT11,,0.003683259288916083,,0.0
GT111,,0.0020650064015198446,,0.0
GT112,,0.001492058518535097,,0.0
GT14,,0.020815990110356772,,0.0
GT19,,0.2418498441210485,,0.0
GT2,,1.6552606248955055,,0.0
GT20,,0.15064398689322836,,0.0
GT21,,0.010730742625384086,,0.0
GT25,,0.08128387348125006,,0.0
GT26,,0.0353092243660969,,0.0
GT27,,0.004097601076044058,,0.0
GT28,,0.21986021020827817,,0.0
GT30,,0.22307864317967707,,0.0
GT32,,0.008196816818353556,,0.0
GT35,,0.05886667678972404,,0.0
GT4,,1.313703735366493,,0.0
GT41,,0.11590805265905817,,0.0
GT5,,0.11195997099181772,,0.0
GT51,,0.812012228776209,,0.0
GT52,,0.0027406646111682084,,0.0
GT56,,0.0018666816001194676,,0.0
GT60,,0.0059835995357521736,,0.0
GT73,,0.06703191342233109,,0.0
GT81,,0.00312153704484088,,0.0
GT83,,0.36126577186221137,,0.0
GT84,,0.007682437127963721,,0.0
GT89,,0.002377386301500131,,0.0
GT9,,0.31285467663215577,,0.0
GT93,,0.0028353109627298374,,0.0
PL1,,0.04399196028076122,,0.0
PL10,,0.022011503044602344,,0.0
PL11,,0.0020529876102197723,,0.0
PL12,,0.011754592757571,,0.0
PL15,,0.004034960283757311,,0.0
PL17,,0.03399470303977364,,0.0
PL22,,0.06762457896039836,,0.0
PL29,,0.013622343183926964,,0.0
PL33,,0.0054510334181545085,,0.0
PL38,,0.0028353109627298374,,0.0
PL42,,0.0034606866002214838,,0.0
PL5,,0.055673558682922245,,0.0
PL6,,0.036426107054021654,,0.0
PL7,,0.03922420383560464,,0.0
PL8,,0.0018054615211013313,,0.0
